,date,ratio (t-3),negatives (t-3),negatives (t-4),negatives (t-6),negatives (t-1),positives (t-3),label
82,2019-01-04,0.0,0.0,4.0,0.0,4.0,0.0,1
83,2019-01-03,0.5,4.0,0.0,3.0,9.0,4.0,0
84,2019-01-02,0.0,0.0,0.0,6.0,0.0,0.0,0
85,2018-12-31,0.4,3.0,6.0,0.0,0.0,2.0,0
86,2018-12-28,0.0,0.0,7.0,0.0,6.0,0.0,1
87,2018-12-27,0.5,7.0,0.0,1.0,3.0,7.0,0
88,2018-12-26,0.0,0.0,0.0,8.0,0.0,0.0,1
89,2018-12-24,0.75,1.0,8.0,7.0,0.0,3.0,0
90,2018-12-21,0.3636363636363637,7.0,9.0,0.0,8.0,4.0,1
91,2018-12-20,0.3076923076923077,9.0,0.0,3.0,5.0,4.0,0
92,2018-12-19,0.0,0.0,0.0,5.0,7.0,0.0,0
93,2018-12-18,0.0,0.0,3.0,10.0,9.0,0.0,0
94,2018-12-17,0.6666666666666666,3.0,5.0,3.0,0.0,6.0,0
95,2018-12-14,0.5714285714285714,3.0,6.0,0.0,5.0,4.0,0
96,2018-12-13,0.25,6.0,0.0,5.0,10.0,2.0,1
97,2018-12-12,0.0,0.0,0.0,6.0,3.0,0.0,0
98,2018-12-11,0.0,0.0,5.0,0.0,6.0,0.0,1
99,2018-12-10,0.5833333333333334,5.0,6.0,6.0,0.0,7.0,1
100,2018-12-07,0.4,6.0,7.0,0.0,6.0,4.0,0
101,2018-12-06,0.3,7.0,0.0,4.0,0.0,3.0,1
102,2018-12-04,0.0,0.0,4.0,1.0,7.0,0.0,1
103,2018-12-03,0.2,4.0,1.0,4.0,0.0,1.0,1
104,2018-11-30,0.3333333333333333,4.0,10.0,0.0,1.0,2.0,1
105,2018-11-29,0.2857142857142857,10.0,0.0,2.0,1.0,4.0,0
106,2018-11-28,0.0,0.0,0.0,0.0,4.0,0.0,1
107,2018-11-27,0.0,0.0,2.0,5.0,10.0,0.0,0
108,2018-11-26,0.7142857142857143,2.0,0.0,3.0,0.0,5.0,1
109,2018-11-23,0.625,3.0,9.0,0.0,0.0,5.0,0
